corporateID,corporateType,corporateName,corporateKana,location,moddate
4000020182079,http://imi.go.jp/ns/code_id/code/kind#201,鯖江市,サバエシ,福井県鯖江市西山町１３－１,2018-04-02T15:00:00.000Z
7000020188239,http://imi.go.jp/ns/code_id/code/kind#201,鯖江・丹生消防組合,サバエニュウショウボウクミアイ,福井県鯖江市西山町１３番２２号,2018-04-02T15:00:00.000Z
2000020188441,http://imi.go.jp/ns/code_id/code/kind#201,鯖江広域衛生施設組合,サバエコウイキエイセイシセツクミアイ,福井県鯖江市西番町１５－１１,2018-04-02T15:00:00.000Z
4000020188522,http://imi.go.jp/ns/code_id/code/kind#201,公立丹南病院組合,コウリツタンナンビョウインクミアイ,福井県鯖江市西山町１３－１,2018-04-02T15:00:00.000Z
4010001008566,http://imi.go.jp/ns/code_id/code/kind#301,インターハウス株式会社,インターハウス,福井県鯖江市小泉町第６号１０番地５,2019-05-07T15:00:00.000Z
4010001202920,http://imi.go.jp/ns/code_id/code/kind#301,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ株式会社,ジャパンアイウェアホールディングス,福井県鯖江市吉江町７１２番地２,2021-07-15T15:00:00.000Z
2010001202922,http://imi.go.jp/ns/code_id/code/kind#301,金子眼鏡株式会社,カネコガンキョウ,福井県鯖江市吉江町７１２番地２,2019-10-22T15:00:00.000Z
4010401038551,http://imi.go.jp/ns/code_id/code/kind#301,株式会社イー・ヴィ・アイ,イーヴィアイ,福井県鯖江市宮前１丁目３番１２号,2019-02-20T15:00:00.000Z
6010401087596,http://imi.go.jp/ns/code_id/code/kind#301,エストプライム株式会社,エストプライム,福井県鯖江市田所町第３号４番地４,2018-06-17T15:00:00.000Z
9010501035254,http://imi.go.jp/ns/code_id/code/kind#301,株式会社ＫＧＳ,ケイジーエス,福井県鯖江市御幸町２丁目４番１７号,2018-11-05T15:00:00.000Z
6010901031533,http://imi.go.jp/ns/code_id/code/kind#301,株式会社グラウンドキャッスル,グラウンドキャッスル,福井県鯖江市西番町第２７号５番地３６,2019-05-26T15:00:00.000Z
8011001095640,http://imi.go.jp/ns/code_id/code/kind#301,株式会社Ａ　Ｉｎｃ．,エーインク,福井県鯖江市新横江２丁目３番４号,2018-04-26T15:00:00.000Z
6011005005952,http://imi.go.jp/ns/code_id/code/kind#399,一般社団法人日本情報モラル推進機構,ニホンジョウホウモラルスイシンキコウ,福井県鯖江市石田下町第１２号１１番地１,2018-08-21T15:00:00.000Z
3011101042092,http://imi.go.jp/ns/code_id/code/kind#301,株式会社ｊｉｇ．ｊｐ,ジグジェーピー,福井県鯖江市新横江２丁目３番４号,2018-04-11T15:00:00.000Z
3011101077122,http://imi.go.jp/ns/code_id/code/kind#301,株式会社Ｂ　Ｉｎｃ．,ビーインク,福井県鯖江市新横江２丁目３番４号,2018-07-09T15:00:00.000Z
8013402004411,http://imi.go.jp/ns/code_id/code/kind#302,ｇａｌｌｅｒｙ　ＲＥＡＬ　ＪＡＰＡＮ有限会社,ギャラリーリアルジャパン,福井県鯖江市片山町第３号１番地２,2018-10-18T15:00:00.000Z
2020001094566,http://imi.go.jp/ns/code_id/code/kind#301,株式会社サンライズアセット,サンライズアセット,福井県鯖江市下河端町２３１４番地,2019-03-03T15:00:00.000Z
6020001110377,http://imi.go.jp/ns/code_id/code/kind#301,株式会社ＵＮＩＴＹ,,福井県鯖江市定次町３０２番地２,2016-09-08T15:00:00.000Z
2030002051672,http://imi.go.jp/ns/code_id/code/kind#301,株式会社キミズホールディングス,,福井県鯖江市小泉町第２６号６番地の４,2015-11-12T15:00:00.000Z
5070001025340,http://imi.go.jp/ns/code_id/code/kind#301,株式会社大洋,,福井県鯖江市北野町２丁目９番３号,2015-11-12T15:00:00.000Z
8120001193146,http://imi.go.jp/ns/code_id/code/kind#301,株式会社アイム,アイム,福井県鯖江市石田下町第１２号１１番地１,2019-09-30T15:00:00.000Z
5120003013024,http://imi.go.jp/ns/code_id/code/kind#305,合同会社ｋｏｍｉｃｈｉ,,福井県鯖江市旭町２丁目１－８,2019-07-07T15:00:00.000Z
9130001062076,http://imi.go.jp/ns/code_id/code/kind#301,ネライ株式会社,ネライ,福井県鯖江市本町３丁目２－１６,2021-08-01T15:00:00.000Z
6130005015751,http://imi.go.jp/ns/code_id/code/kind#399,一般社団法人サイバー・ソサエティ・アライアンス,サイバーソサエティアライアンス,福井県鯖江市本町３丁目２－１６,2021-07-20T15:00:00.000Z
3160001011003,http://imi.go.jp/ns/code_id/code/kind#301,株式会社三品箔紙店,,福井県鯖江市旭町３丁目６番２８号,2015-11-12T15:00:00.000Z
9160001012879,http://imi.go.jp/ns/code_id/code/kind#301,エスエス福井株式会社,,福井県鯖江市中野町１６１－５,2016-06-15T15:00:00.000Z
1190001018377,http://imi.go.jp/ns/code_id/code/kind#301,クリーンテクノ株式会社,クリーンテクノ,福井県鯖江市下河端町１８０２番地,2018-08-26T15:00:00.000Z
5200002010419,http://imi.go.jp/ns/code_id/code/kind#302,有限会社永大興業,エイダイコウギョウ,福井県鯖江市横越町第３１号２４番地１,2019-10-03T15:00:00.000Z
6210001000162,http://imi.go.jp/ns/code_id/code/kind#301,株式会社アサヒオプティカル,アサヒオプティカル,福井県鯖江市下河端町４７号２６番地,2020-07-29T15:00:00.000Z
4210001000206,http://imi.go.jp/ns/code_id/code/kind#301,株式会社ウノテキスタイル,ウノテキスタイル,福井県鯖江市東鯖江２丁目６番１８号,2021-06-08T15:00:00.000Z
3210001002673,http://imi.go.jp/ns/code_id/code/kind#301,株式会社日創,,福井県鯖江市石田下町１５号８番地１３,2015-11-12T15:00:00.000Z
4210001003084,http://imi.go.jp/ns/code_id/code/kind#301,株式会社エフ・エム・エイ,,福井県鯖江市下新庄町６８号６番地,2015-12-08T15:00:00.000Z
6210001003223,http://imi.go.jp/ns/code_id/code/kind#301,株式会社ブラボ,ブラボ,福井県鯖江市つつじケ丘町１５番３号,2018-05-15T15:00:00.000Z
9210001004391,http://imi.go.jp/ns/code_id/code/kind#301,山清工業株式会社,ヤマセイコウギョウ,福井県鯖江市中野町第２５７号８番地２,2018-07-10T15:00:00.000Z
1210001008326,http://imi.go.jp/ns/code_id/code/kind#301,北伸インターナショナル株式会社,,福井県鯖江市神中町２丁目５番２７－１号,2016-10-05T15:00:00.000Z
9210001008426,http://imi.go.jp/ns/code_id/code/kind#301,ストロベリーシティ株式会社,ストロベリーシティ,福井県鯖江市神中町３丁目２番１１号,2021-02-18T15:00:00.000Z
4210001008447,http://imi.go.jp/ns/code_id/code/kind#301,株式会社芳組,カンバグミ,福井県鯖江市鳥羽３丁目３番３１号,2020-11-10T15:00:00.000Z
9210001008698,http://imi.go.jp/ns/code_id/code/kind#301,ゼノテック株式会社,,福井県鯖江市杉本町第１５号１９番地１,2016-12-06T15:00:00.000Z
6210001008973,http://imi.go.jp/ns/code_id/code/kind#301,株式会社グローハウジング,グローハウジング,福井県鯖江市吉江町６０１番地,2020-09-08T15:00:00.000Z
9210001009119,http://imi.go.jp/ns/code_id/code/kind#301,リーフマウンテン株式会社,,福井県鯖江市田所町第３号４番地４,2017-11-13T15:00:00.000Z
6210001009187,http://imi.go.jp/ns/code_id/code/kind#301,株式会社Ｓ＆Ｆカンパニー,,福井県鯖江市北野町１６,2015-11-12T15:00:00.000Z
4210001009338,http://imi.go.jp/ns/code_id/code/kind#301,株式会社コマツオプティカル,コマツオプティカル,福井県鯖江市東米岡２丁目１番８－８号,2019-05-22T15:00:00.000Z
9210001009498,http://imi.go.jp/ns/code_id/code/kind#301,株式会社ＭＴ,,福井県鯖江市下河端町２０１番地,2016-02-22T15:00:00.000Z
5210001010245,http://imi.go.jp/ns/code_id/code/kind#301,伊奈洸通商株式会社,,福井県鯖江市神中町２丁目５番２３号,2015-11-12T15:00:00.000Z
8210001010317,http://imi.go.jp/ns/code_id/code/kind#301,株式会社サイズ,サイズ,福井県鯖江市石田上町第１号４番地１,2020-11-15T15:00:00.000Z
1210001010380,http://imi.go.jp/ns/code_id/code/kind#301,株式会社樹夏夢,ジュゲム,福井県鯖江市北中町２４号２０番地,2018-10-03T15:00:00.000Z
8210001011298,http://imi.go.jp/ns/code_id/code/kind#301,株式会社サンブライト,,福井県鯖江市上鯖江１丁目１０番１２号,2015-11-12T15:00:00.000Z
4210001011599,http://imi.go.jp/ns/code_id/code/kind#301,クラシス株式会社,クラシス,福井県鯖江市下河端町１７０１番地,2020-07-07T15:00:00.000Z
4210001011608,http://imi.go.jp/ns/code_id/code/kind#301,児玉商事株式会社,コダマショウジ,福井県鯖江市橋立町２７番地,2020-03-11T15:00:00.000Z
5210001011689,http://imi.go.jp/ns/code_id/code/kind#301,株式会社新日本産業,シンニホンサンギョウ,福井県鯖江市上河端町第３６号４番地３,2020-09-27T15:00:00.000Z
3210001011716,http://imi.go.jp/ns/code_id/code/kind#301,大和産業株式会社,ダイワサンギョウ,福井県鯖江市川去町第９号３５番地１,2018-04-19T15:00:00.000Z
6210001011754,http://imi.go.jp/ns/code_id/code/kind#301,田中木材株式会社,タナカモクザイ,福井県鯖江市下河端町１７０１番地,2018-04-15T15:00:00.000Z
7210001012363,http://imi.go.jp/ns/code_id/code/kind#301,株式会社リサ,リサ,福井県鯖江市住吉町１丁目１番７号,2020-12-23T15:00:00.000Z
9210001012444,http://imi.go.jp/ns/code_id/code/kind#301,株式会社カクマ,カクマ,福井県鯖江市東鯖江３丁目４０２番地,2020-04-14T15:00:00.000Z
3210001012474,http://imi.go.jp/ns/code_id/code/kind#301,株式会社松原商事,マツバラショウジ,福井県鯖江市東鯖江２丁目７番１２号,2020-09-03T15:00:00.000Z
